ensembl_gene_id	uniprotswissprot	ratio
YMR172W	Q03213	0.5438108484005564
YLR437C	O13577	1
YDL189W	Q05672	0.7221006564551422
YGR251W	P53317	0.6173469387755102
YKR092C	P32583	0.7955665024630542
YKL002W	P36108	0.75
YGR162W	P39935	0.6502100840336135
YLR025W	P39929	0.5833333333333334
YHR084W	P13574	0.6875
YPR065W	P25042	0.6521739130434783
YOR281C	Q12017	0.5034965034965035
YDR439W	Q04087	0.5417867435158501
YLR327C	Q06177	1
YNL157W	P53897	0.5238095238095238
YJL020C	P47068	0.7139152981849611
YDL181W	P01097	1
YHR097C	P38809	0.9016393442622952
YML101C	Q04201	0.8803418803418803
YGR186W	P41895	0.7578231292517007
YKL143W	P34078	0.8077753779697624
YDL139C	Q12334	0.7668161434977578
YKL062W	P33749	0.5984126984126984
YFR017C	P43598	0.8717948717948718
YJR053W	P47113	0.6707317073170732
YGR167W	P17891	0.630901287553648
YDR469W	Q03323	0.5771428571428572
YPL192C	Q08931	0.6842105263157895
YKL172W	P36049	0.8266978922716628
YOR181W	Q12446	0.764612954186414
YDL123W	Q07549	0.5428571428571428
YJR012C	P47087	1
YGR041W	P53226	0.6453382084095064
YKR099W	P22035	0.654747225647349
YNL039W	P46678	0.734006734006734
YDR130C	Q03898	0.5120274914089347
YDR034W-B	Q6Q5X2	0.8627450980392157
YGL096W	P53147	0.6268115942028986
YCL042W	P25572	0.5798319327731093
YPR171W	Q06604	0.8958333333333334
YDR422C	P32578	0.6049079754601226
YLR403W	P32432	0.6002928257686676
YMR048W	Q04659	0.5299684542586751
YFR036W	P14724	0.9112903225806452
YLR079W	P38634	1
YDR239C	Q03780	0.770012706480305
YBR071W	P38243	0.5165876777251185
YKR045C	P36138	0.8797814207650273
YKR072C	P36024	0.5765124555160143
YGR159C	P27476	0.7729468599033816
YDR113C	P40316	0.8230563002680965
YOR106W	Q12241	0.5123674911660777
YER161C	P06843	0.993993993993994
YBR197C	P38306	0.9539170506912442
YML113W	P13483	0.8346774193548387
YGR130C	P53278	0.6776960784313726
YKL112W	P14164	0.7099863201094391
YIL136W	P16547	0.7048346055979644
YER027C	Q04739	0.5947242206235012
YMR136W	P40209	0.5946428571428571
YNR051C	P53741	0.5242718446601942
YDR077W	Q01589	0.5355029585798816
YJR002W	P47083	0.5750421585160203
YNL190W	P53872	0.7450980392156863
YIR001C	P40561	0.56
YER002W	P40007	0.7402597402597403
YGR008C	P16965	1
YNL199C	Q01722	0.6217228464419475
YCL028W	P25367	0.9530864197530864
YER035W	P40023	0.7931034482758621
YJL159W	P32478	0.6900726392251816
YIR019C	P08640	0.681784930504755
YLR449W	Q06205	0.5561224489795918
